lat;lon;official_name;name;ref:CIS_JR;ref;bus;public_transport;count;id;local_ref
49.5571938;14.2302771;"""Kovářov, rozc. Klučenice 2.0""";"""Kovářov, rozcestí Klučenice 2.0""";;;yes;platform;;10689846361;A;10;10;10;10
49.5381737;14.2549086;;"""Kovářov, Zlučín""";;;yes;platform;;10689846350;A;10;10;10;10
49.5382385;14.2549486;;"""Kovářov, Zlučín""";;;yes;platform;;10689846352;B;10;10;10;10
49.5313683;14.2571573;;"""Kovářov, Radvánov""";;;yes;platform;;10689846349;B;10;10;10;10
49.5314140;14.2570133;;"""Kovářov, Radvánov""";;;yes;platform;;10689846351;A;10;10
49.4529038;14.3599396;;"""Milevsko, škola I""";;;yes;platform;;10689846338;A;10;10;10;10
49.4529114;14.3617506;;"""Milevsko, poliklinika""";;;yes;platform;;10689846336;A;10
49.4463031;14.3644821;;"""Milevsko, U Zámečku""";66834;;yes;platform;;9674056877;;4
49.4566269;14.3628788;;"""Milevsko, Petrovická""";;;yes;platform;;10689846337;A;10
49.4864502;14.2539692;"""Kostelec n. Vlt., Přílepov, rozc. 1.5""";"""Kostelec nad Vltavou, Přílepov, rozcestí 1.5""";;;yes;platform;;10689846340;A;10;10
49.4755211;14.3304281;;"""Milevsko, Něžovice, Jenišovice""";;;yes;platform;;3931905870;B;10;10;10;10
49.4754105;14.3304472;;"""Milevsko, Něžovice, Jenišovice""";;;yes;platform;;10689846348;A;10;10;10;10
49.5555992;14.0506163;;"""Mirovice, Řeteč""";;;yes;platform;;10689846366;A;10
49.5556259;14.0507040;;"""Mirovice, Řeteč""";;;yes;platform;;10689846367;B;10
49.5594300;14.7940500;;"""Mladá Vožice, Chocov""";;;yes;platform;;7990799077;1;10
49.4742165;14.2899380;;Hrejkovice;;;yes;platform;;10689846321;A;10;10;10;10
